"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
3507,3507,3,"pink",4,5,"fluctuating","mixed",NA,NA,NA,NA
3508,3508,3,"pink",4,5,"fluctuating","mixed",NA,NA,NA,NA
3509,3509,3,"pink",4,5,"fluctuating","mixed",NA,NA,NA,NA
3510,3510,3,"pink",4,5,"fluctuating","mixed",NA,NA,NA,NA
3511,3511,3,"pink",4,5,"fluctuating","mixed",NA,NA,NA,NA
3601,3601,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3602,3602,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3603,3603,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3604,3604,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3605,3605,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3606,3606,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3607,3607,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3608,3608,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3609,3609,3,"pink",4,5,"stable","mixed",NA,NA,NA,NA
3701,3701,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3702,3702,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3703,3703,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3704,3704,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3705,3705,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3706,3706,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3707,3707,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3708,3708,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3709,3709,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3710,3710,3,"pink",5,4,"fluctuating","mixed",NA,NA,NA,NA
3801,3801,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3802,3802,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3803,3803,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3804,3804,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3805,3805,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3806,3806,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3807,3807,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3808,3808,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3809,3809,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3810,3810,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
3811,3811,3,"pink",5,4,"stable","mixed",NA,NA,NA,NA
4001,4001,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4002,4002,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4003,4003,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4004,4004,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4005,4005,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4006,4006,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4007,4007,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4008,4008,4,"yellow",0,0,"0","control",NA,NA,NA,NA
4009,4009,4,"yellow",0,0,"0","control",NA,NA,NA,NA
