"population","ID","block","color","number","size","env","group","old.H8","old.H9","H8","H9"
654,654.1,3,"pink",4,5,"stable","high",0.859,0.811,0.913216507994328,0.863364784719842
655,655.1,3,"pink",4,5,"stable","low",0.899,0.886,0.916066344156836,0.9031734331926
656,656.1,3,"pink",4,5,"stable",NA,NA,NA,0.902679868184864,0.87494674545549
657,657.1,3,"pink",4,5,"stable","low",0.842,0.824,0.878176016402472,0.860429076399707
658,658.1,3,"pink",4,5,"stable","low",0.869,0.849,0.9117276171766,0.891179551854332
659,659.1,3,"pink",4,5,"stable","low",0.857,0.841,0.89816720430412,0.881293798783587
663,663.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.918531866481735,0.902952490364526
664,664.1,3,"pink",5,4,"fluctuating","high",0.875,0.862,0.920087424563176,0.907095837782906
665,665.1,3,"pink",5,4,"fluctuating",NA,NA,NA,0.876161199050477,0.844685298237682
667,667.1,3,"pink",5,4,"fluctuating","high",0.888,0.877,0.931364570797762,0.920379428961194
667,667.2,3,"pink",5,4,"fluctuating",NA,NA,NA,0.931364570797762,0.920379428961194
668,668.1,3,"pink",5,4,"fluctuating","low",0.893,0.885,0.926915687832315,0.918996408788649
668,668.2,3,"pink",5,4,"fluctuating",NA,NA,NA,0.926915687832315,0.918996408788649
670,670.2,3,"pink",5,4,"fluctuating","low",0.892,0.882,0.918501552022568,0.90747558181674
670,670.3,3,"pink",5,4,"fluctuating","low",0.892,0.882,0.918501552022568,0.90747558181674
670,670.1,3,"pink",5,4,"fluctuating","low",0.892,0.882,0.918501552022568,0.90747558181674
