ID,Generation,N0,Census,Person
3009,11,16,23,MJK
3010,11,16,23,MJK
3011,11,16,28,MJK
3012,11,16,7,MJK
3013,11,16,17,MJK
3014,11,16,17,MJK
3015,11,16,11,MJK
3016,11,16,24,MJK
3017,11,16,2,MJK
3018,11,16,9,MJK
3019,11,16,24,MJK
3020,11,16,15,MJK
3021,11,16,16,MJK
3022,11,16,31,MJK
3023,11,16,14,MJK
3024,11,16,18,MJK
3025,11,16,11,MJK
3026,11,16,13,MJK
3027,11,16,14,MJK
3028,11,16,18,MJK
3029,11,16,18,MJK
3030,11,16,17,MJK
481.1,11,16,48,MJK
484.1,11,16,30,MJK
485.1,11,16,24,MJK
485.2,11,16,39,MJK
487.1,11,16,39,MJK
489.1,11,16,34,MJK
492.1,11,16,21,MJK
493.1,11,16,11,MJK
501.1,11,16,30,MJK
501.2,11,16,27,MJK
502.1,11,16,32,MJK
508.1,11,16,13,MJK
3101,11,16,50,MJK
3102,11,16,29,MJK
3103,11,16,23,MJK
3104,11,16,41,MJK
3105,11,16,39,MJK
512.1,11,16,6,MJK
513.1,11,16,20,MJK
513.2,11,16,15,MJK
513.3,11,16,34,MJK
515.1,11,16,6,MJK
516.1,11,16,35,MJK
522.1,11,16,22,MJK
525.1,11,16,14,MJK
528.1,11,16,16,MJK
530.1,11,16,7,MJK
531.1,11,16,27,MJK
531.2,11,16,18,MJK
532.1,11,16,38,MJK
532.2,11,16,20,MJK
532.3,11,16,34,MJK
536.1,11,16,8,MJK
536.2,11,16,4,MJK
3201,11,16,35,MJK
3202,11,16,49,MJK
3203,11,16,33,MJK
3204,11,16,33,MJK
545.1,11,16,14,MJK
546.1,11,16,24,MJK
552.1,11,16,25,MJK
552.2,11,16,30,MJK
560.1,11,16,34,MJK
563.1,11,16,21,MJK
3301,11,16,19,MJK
3302,11,16,13,MJK
3303,11,16,34,MJK
3304,11,16,30,MJK
3305,11,16,27,MJK
3306,11,16,28,MJK
3307,11,16,33,MJK
3308,11,16,28,MJK
571.1,11,16,18,MJK
571.2,11,16,15,MJK
575.1,11,16,47,MJK
575.2,11,16,19,MJK
577.1,11,16,31,MJK
595.1,11,16,38,MJK
599.1,11,16,22,MJK
600.1,11,16,17,MJK
600.2,11,16,18,MJK
3401,11,16,25,MJK
3402,11,16,32,MJK
3403,11,16,10,MJK
3404,11,16,21,MJK
3405,11,16,16,MJK
602.1,11,16,33,MJK
602.2,11,16,31,MJK
606.1,11,16,7,MJK
606.2,11,16,9,MJK
607.1,11,16,17,MJK
611.1,11,16,24,MJK
614.1,11,16,6,MJK
617.1,11,16,6,MJK
617.2,11,16,22,MJK
621.1,11,16,41,MJK
622.1,11,16,23,MJK
622.2,11,16,13,MJK
624.1,11,16,17,MJK
625.1,11,16,11,MJK
626.1,11,16,2,MJK
626.2,11,16,5,MJK
627.1,11,16,7,MJK
628.1,11,16,5,MJK
3501,11,16,28,MJK
3502,11,16,43,MJK
3503,11,16,34,MJK
3504,11,16,30,MJK
3505,11,16,23,MJK
3506,11,16,28,MJK
3507,11,16,30,MJK
3508,11,16,16,MJK
3509,11,16,20,MJK
3510,11,16,20,MJK
631.1,11,16,17,MJK
633.1,11,16,11,MJK
636.1,11,16,2,MJK
637.1,11,16,12,MJK
639.1,11,16,5,MJK
653.1,11,16,32,MJK
654.1,11,16,28,MJK
655.1,11,16,8,MJK
657.1,11,16,21,MJK
658.1,11,16,19,MJK
659.1,11,16,13,MJK
3601,11,16,18,MJK
3602,11,16,23,MJK
3603,11,16,33,MJK
3604,11,16,23,MJK
3605,11,16,23,MJK
3606,11,16,14,MJK
3607,11,16,33,MJK
3608,11,16,24,MJK
3609,11,16,12,MJK
664.1,11,16,14,MJK
667.1,11,16,33,MJK
668.1,11,16,29,MJK
670.1,11,16,16,MJK
670.2,11,16,35,MJK
670.3,11,16,21,MJK
673.1,11,16,21,MJK
678.1,11,16,19,MJK
678.2,11,16,20,MJK
681.1,11,16,47,MJK
3701,11,16,20,MJK
3702,11,16,16,MJK
3703,11,16,32,MJK
3704,11,16,24,MJK
3705,11,16,21,MJK
3706,11,16,18,MJK
3707,11,16,13,MJK
3708,11,16,20,MJK
3709,11,16,26,MJK
3710,11,16,27,MJK
696.1,11,16,4,MJK
698.1,11,16,18,MJK
701.1,11,16,17,MJK
702.1,11,16,22,MJK
705.1,11,16,23,MJK
705.2,11,16,20,MJK
706.1,11,16,29,MJK
707.1,11,16,14,MJK
708.1,11,16,27,MJK
709.1,11,16,28,MJK
712.1,11,16,37,MJK
713.1,11,16,24,MJK
713.2,11,16,22,MJK
720.1,11,16,4,MJK
3801,11,16,28,MJK
3802,11,16,31,MJK
3803,11,16,35,MJK
3804,11,16,20,MJK
3805,11,16,32,MJK
3806,11,16,33,MJK
3807,11,16,26,MJK
3808,11,16,49,MJK
3809,11,16,30,MJK
3810,11,16,45,MJK
4001,11,16,25,MJK
4002,11,16,25,MJK
4003,11,16,21,MJK
4004,11,16,31,MJK
4005,11,16,11,MJK
4006,11,16,15,MJK
4007,11,16,7,MJK
4008,11,16,15,MJK
4009,11,16,15,MJK
4010,11,16,23,MJK
4011,11,16,34,MJK
4012,11,16,11,MJK
4013,11,16,14,MJK
4014,11,16,36,MJK
4015,11,16,21,MJK
4016,11,16,25,MJK
4017,11,16,19,MJK
4018,11,16,33,MJK
4019,11,16,16,MJK
4020,11,16,9,MJK
4021,11,16,13,MJK
4022,11,16,18,MJK
4023,11,16,35,MJK
4024,11,16,10,MJK
4025,11,16,14,MJK
4026,11,16,29,MJK
4027,11,16,9,MJK
4028,11,16,19,MJK
4029,11,16,22,MJK
4030,11,16,16,MJK
725.1,11,16,27,MJK
726.1,11,16,20,MJK
728.1,11,16,16,MJK
729.1,11,16,27,MJK
729.2,11,16,47,MJK
729.3,11,16,28,MJK
730.1,11,16,37,MJK
734.1,11,16,8,MJK
737.1,11,16,19,MJK
741.1,11,16,36,MJK
741.2,11,16,37,MJK
742.1,11,16,16,MJK
745.1,11,16,29,MJK
745.2,11,16,39,MJK
745.3,11,16,28,MJK
745.4,11,16,34,MJK
749.1,11,16,28,MJK
4101,11,16,32,MJK
4102,11,16,18,MJK
4103,11,16,27,MJK
4104,11,16,26,MJK
4105,11,16,26,MJK
4106,11,16,50,MJK
4107,11,16,32,MJK
4108,11,16,20,MJK
4109,11,16,27,MJK
4110,11,16,23,MJK
753.1,11,16,26,MJK
753.2,11,16,32,MJK
754.1,11,16,28,MJK
755.1,11,16,19,MJK
755.2,11,16,9,MJK
757.1,11,16,18,MJK
763.1,11,16,11,MJK
763.2,11,16,20,MJK
764.1,11,16,33,MJK
768.1,11,16,31,MJK
769.1,11,16,32,MJK
771.1,11,16,18,MJK
772.1,11,16,34,MJK
776.1,11,16,25,MJK
776.2,11,16,18,MJK
779.1,11,16,32,MJK
4201,11,16,23,MJK
4202,11,16,16,MJK
4203,11,16,15,MJK
4204,11,16,17,MJK
4205,11,16,13,MJK
4206,11,16,25,MJK
4207,11,16,28,MJK
4208,11,16,39,MJK
4209,11,16,26,MJK
4210,11,16,34,MJK
781.1,11,16,25,MJK
782.1,11,16,32,MJK
782.2,11,16,14,MJK
782.3,11,16,15,MJK
787.1,11,16,20,MJK
791.1,11,16,11,MJK
791.2,11,16,15,MJK
792.1,11,16,18,MJK
800.1,11,16,4,MJK
801.1,11,16,36,MJK
805.1,11,16,10,MJK
806.1,11,16,31,MJK
4301,11,16,32,MJK
4302,11,16,33,MJK
4303,11,16,32,MJK
4304,11,16,10,MJK
4305,11,16,8,MJK
811.1,11,16,13,MJK
812.1,11,16,11,MJK
835.1,11,16,11,MJK
4401,11,16,29,MJK
4402,11,16,36,MJK
4403,11,16,35,MJK
4404,11,16,51,MJK
4405,11,16,46,MJK
4406,11,16,1,MJK
4407,11,16,33,MJK
4408,11,16,27,MJK
4409,11,16,36,MJK
844.1,11,16,25,MJK
844.2,11,16,25,MJK
846.1,11,16,21,MJK
847.1,11,16,19,MJK
851.1,11,16,19,MJK
853.1,11,16,22,MJK
856.1,11,16,32,MJK
857.1,11,16,31,MJK
858.1,11,16,27,MJK
859.1,11,16,17,MJK
861.1,11,16,21,MJK
861.2,11,16,26,MJK
861.3,11,16,24,MJK
862.1,11,16,24,MJK
864.1,11,16,13,MJK
866.1,11,16,43,MJK
867.1,11,16,18,MJK
868.1,11,16,4,MJK
869.1,11,16,40,MJK
870.1,11,16,26,MJK
4501,11,16,32,MJK
4502,11,16,26,MJK
4503,11,16,38,MJK
4504,11,16,37,MJK
4505,11,16,26,MJK
4506,11,16,41,MJK
4507,11,16,36,MJK
4508,11,16,33,MJK
4509,11,16,29,MJK
4510,11,16,11,MJK
872.1,11,16,18,MJK
874.1,11,16,33,MJK
877.1,11,16,12,MJK
883.1,11,16,20,MJK
4601,11,16,31,MJK
4602,11,16,11,MJK
4603,11,16,38,MJK
4604,11,16,49,MJK
4605,11,16,39,MJK
4606,11,16,31,MJK
4607,11,16,41,MJK
4608,11,16,13,MJK
4609,11,16,33,MJK
901.1,11,16,23,MJK
903.1,11,16,42,MJK
903.2,11,16,33,MJK
904.1,11,16,20,MJK
904.2,11,16,29,MJK
909.1,11,16,20,MJK
916.1,11,16,27,MJK
916.2,11,16,34,MJK
916.3,11,16,34,MJK
917.1,11,16,34,MJK
4701,11,16,49,MJK
4702,11,16,26,MJK
4703,11,16,51,MJK
4704,11,16,34,MJK
4705,11,16,19,MJK
4706,11,16,36,MJK
934.1,11,16,17,MJK
935.1,11,16,25,MJK
940.1,11,16,41,MJK
942.1,11,16,25,MJK
945.1,11,16,0,MJK
945.2,11,16,15,MJK
4801,11,16,23,MJK
4802,11,16,37,MJK
4803,11,16,22,MJK
4804,11,16,7,MJK
4805,11,16,33,MJK
4806,11,16,14,MJK
4807,11,16,25,MJK
