Population,ID,Group,Block,Treatment,number,size,env,Ht.over.H0.8,Ht.over.H0.9,P,F1,N0,F2
3708,3708.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,20
3709,3709.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,26
3710,3710.1,mixed,3,7,5,4,fluctuating,NA,NA,20,21.3,16,27
696,696.1,low,3,8,5,4,stable,0.895,0.88,29,20,16,4
698,698.1,high,3,8,5,4,stable,0.865,0.845,22,25,16,18
701,701.1,high,3,8,5,4,stable,0.876,0.821,8,17,16,17
702,702.1,low,3,8,5,4,stable,0.886,0.872,31,21,16,22
705,705.1,high,3,8,5,4,stable,0.832,0.809,18,42,16,23
705,705.2,high,3,8,5,4,stable,0.832,0.809,18,42,16,20
706,706.1,high,3,8,5,4,stable,0.89,0.867,20,22,16,29
707,707.1,low,3,8,5,4,stable,0.885,0.871,31,27,16,14
708,708.1,low,3,8,5,4,stable,0.902,0.886,28,25,16,27
709,709.1,high,3,8,5,4,stable,0.856,0.838,24,21,16,28
712,712.1,high,3,8,5,4,stable,0.881,0.867,31,19,16,37
713,713.1,low,3,8,5,4,stable,0.89,0.878,36,47,16,24
713,713.2,low,3,8,5,4,stable,0.89,0.878,36,47,16,22
720,720.1,low,3,8,5,4,stable,0.893,0.88,33,27,16,4
3801,3801.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,28
3802,3802.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,31
3803,3803.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,35
3804,3804.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,20
3805,3805.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,32
3806,3806.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,33
3807,3807.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,26
3808,3808.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,49
3809,3809.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,30
3810,3810.1,mixed,3,8,5,4,stable,NA,NA,20,26.55,16,45
4001,4001,control,4,0,0,0,,NA,NA,20,47.1,16,25
4002,4002,control,4,0,0,0,,NA,NA,20,47.1,16,25
4003,4003,control,4,0,0,0,,NA,NA,20,47.1,16,21
4004,4004,control,4,0,0,0,,NA,NA,20,47.1,16,31
4005,4005,control,4,0,0,0,,NA,NA,20,47.1,16,11
4006,4006,control,4,0,0,0,,NA,NA,20,47.1,16,15
4007,4007,control,4,0,0,0,,NA,NA,20,47.1,16,7
4008,4008,control,4,0,0,0,,NA,NA,20,47.1,16,15
4009,4009,control,4,0,0,0,,NA,NA,20,47.1,16,15
4010,4010,control,4,0,0,0,,NA,NA,20,47.1,16,23
4011,4011,control,4,0,0,0,,NA,NA,20,47.1,16,34
4012,4012,control,4,0,0,0,,NA,NA,20,47.1,16,11
4013,4013,control,4,0,0,0,,NA,NA,20,47.1,16,14
4014,4014,control,4,0,0,0,,NA,NA,20,47.1,16,36
4015,4015,control,4,0,0,0,,NA,NA,20,47.1,16,21
4016,4016,control,4,0,0,0,,NA,NA,20,47.1,16,25
4017,4017,control,4,0,0,0,,NA,NA,20,47.1,16,19
4018,4018,control,4,0,0,0,,NA,NA,20,47.1,16,33
4019,4019,control,4,0,0,0,,NA,NA,20,47.1,16,16
4020,4020,control,4,0,0,0,,NA,NA,20,47.1,16,9
4021,4021,control,4,0,0,0,,NA,NA,20,47.1,16,13
4022,4022,control,4,0,0,0,,NA,NA,20,47.1,16,18
4023,4023,control,4,0,0,0,,NA,NA,20,47.1,16,35
4024,4024,control,4,0,0,0,,NA,NA,20,47.1,16,10
4025,4025,control,4,0,0,0,,NA,NA,20,47.1,16,14
4026,4026,control,4,0,0,0,,NA,NA,20,47.1,16,29
4027,4027,control,4,0,0,0,,NA,NA,20,47.1,16,9
4028,4028,control,4,0,0,0,,NA,NA,20,47.1,16,19
4029,4029,control,4,0,0,0,,NA,NA,20,47.1,16,22
4030,4030,control,4,0,0,0,,NA,NA,20,47.1,16,16
725,725.1,high,4,1,1,20,fluctuating,0.828,0.811,24,28,16,27
726,726.1,high,4,1,1,20,fluctuating,0.792,0.771,19,27,16,20
728,728.1,high,4,1,1,20,fluctuating,0.743,0.725,21,27,16,16
729,729.1,low,4,1,1,20,fluctuating,0.88,0.872,30,60,16,27
729,729.2,low,4,1,1,20,fluctuating,0.88,0.872,30,60,16,47
729,729.3,low,4,1,1,20,fluctuating,0.88,0.872,30,60,16,28
730,730.1,high,4,1,1,20,fluctuating,0.822,0.792,14,19,16,37
734,734.1,high,4,1,1,20,fluctuating,0.786,0.742,9,19,16,8
737,737.1,high,4,1,1,20,fluctuating,0.854,0.834,22,19,16,19
741,741.1,low,4,1,1,20,fluctuating,0.848,0.84,27.5,39,16,36
741,741.2,low,4,1,1,20,fluctuating,0.848,0.84,27.5,39,16,37
742,742.1,high,4,1,1,20,fluctuating,0.811,0.798,30,23,16,16
745,745.1,low,4,1,1,20,fluctuating,0.879,0.869,22.5,72,16,29
745,745.2,low,4,1,1,20,fluctuating,0.879,0.869,22.5,72,16,39
745,745.3,low,4,1,1,20,fluctuating,0.879,0.869,22.5,72,16,28
745,745.4,low,4,1,1,20,fluctuating,0.879,0.869,22.5,72,16,34
749,749.1,high,4,1,1,20,fluctuating,0.756,0.735,18,24,16,28
4101,4101.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,32
4102,4102.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,18
4103,4103.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,27
4104,4104.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,26
4105,4105.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,26
4106,4106.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,50
4107,4107.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,32
4108,4108.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,20
4109,4109.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,27
4110,4110.1,mixed,4,1,1,20,fluctuating,NA,NA,20,23,16,23
753,753.1,high,4,2,1,20,stable,0.839,0.828,36,37,16,26
753,753.2,high,4,2,1,20,stable,0.839,0.828,36,37,16,32
754,754.1,low,4,2,1,20,stable,0.871,0.858,33,23,16,28
755,755.1,high,4,2,1,20,stable,0.703,0.696,23,44,16,19
755,755.2,high,4,2,1,20,stable,0.703,0.696,23,44,16,9
757,757.1,high,4,2,1,20,stable,0.837,0.823,29,21,16,18
763,763.1,low,4,2,1,20,stable,0.889,0.874,31,34,16,11
763,763.2,low,4,2,1,20,stable,0.889,0.874,31,34,16,20
764,764.1,high,4,2,1,20,stable,0.666,0.658,20.5,31,16,33
768,768.1,low,4,2,1,20,stable,0.871,0.862,24.5,16,16,31
769,769.1,low,4,2,1,20,stable,0.845,0.829,27,18,16,32
771,771.1,low,4,2,1,20,stable,0.855,0.841,29,23,16,18
772,772.1,high,4,2,1,20,stable,0.829,0.819,21.5,25,16,34
776,776.1,low,4,2,1,20,stable,0.84,0.831,23.5,37,16,25
776,776.2,low,4,2,1,20,stable,0.84,0.831,23.5,37,16,18
779,779.1,high,4,2,1,20,stable,0.754,0.743,34,20,16,32
4201,4201.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,23
4202,4202.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,16
4203,4203.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,15
4204,4204.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,17
4205,4205.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,13
4206,4206.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,25
4207,4207.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,28
4208,4208.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,39
4209,4209.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,26
4210,4210.1,mixed,4,2,1,20,stable,NA,NA,20,20,16,34
781,781.1,low,4,3,2,10,fluctuating,0.864,0.852,37,21,16,25
782,782.1,high,4,3,2,10,fluctuating,0.803,0.797,32,51,16,32
782,782.2,high,4,3,2,10,fluctuating,0.803,0.797,32,51,16,14
782,782.3,high,4,3,2,10,fluctuating,0.803,0.797,32,51,16,15
787,787.1,high,4,3,2,10,fluctuating,0.598,0.573,12,18,16,20
791,791.1,low,4,3,2,10,fluctuating,0.867,0.844,19,38,16,11
791,791.2,low,4,3,2,10,fluctuating,0.867,0.844,19,38,16,15
792,792.1,high,4,3,2,10,fluctuating,0.771,0.758,28,16,16,18
800,800.1,high,4,3,2,10,fluctuating,0.806,0.781,16,28,16,4
801,801.1,low,4,3,2,10,fluctuating,0.881,0.856,18,27,16,36
805,805.1,low,4,3,2,10,fluctuating,0.855,0.843,34,26,16,10
806,806.1,low,4,3,2,10,fluctuating,0.884,0.863,21,18,16,31
4301,4301.1,mixed,4,3,2,10,fluctuating,NA,NA,20,18.4,16,32
4302,4302.1,mixed,4,3,2,10,fluctuating,NA,NA,20,18.4,16,33
4303,4303.1,mixed,4,3,2,10,fluctuating,NA,NA,20,18.4,16,32
4304,4304.1,mixed,4,3,2,10,fluctuating,NA,NA,20,18.4,16,10
4305,4305.1,mixed,4,3,2,10,fluctuating,NA,NA,20,18.4,16,8
811,811.1,low,4,4,2,10,stable,0.899,0.892,32,27,16,13
812,812.1,low,4,4,2,10,stable,0.818,0.808,20.5,22,16,11
835,835.1,high,4,4,2,10,stable,0.772,0.756,24,17,16,11
4401,4401.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,29
4402,4402.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,36
4403,4403.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,35
4404,4404.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,51
4405,4405.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,46
4406,4406.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,1
4407,4407.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,33
4408,4408.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,27
4409,4409.1,mixed,4,4,2,10,stable,NA,NA,20,22.71,16,36
844,844.1,high,4,5,4,5,fluctuating,0.847,0.839,26.5,33,16,25
844,844.2,high,4,5,4,5,fluctuating,0.847,0.839,26.5,33,16,25
846,846.1,high,4,5,4,5,fluctuating,0.843,0.833,23,28,16,21
847,847.1,high,4,5,4,5,fluctuating,0.728,0.707,18,20,16,19
851,851.1,low,4,5,4,5,fluctuating,0.894,0.884,21,29,16,19
853,853.1,high,4,5,4,5,fluctuating,0.778,0.755,17,20,16,22
856,856.1,low,4,5,4,5,fluctuating,0.861,0.85,39,27,16,32
857,857.1,low,4,5,4,5,fluctuating,0.868,0.855,34,20,16,31
858,858.1,high,4,5,4,5,fluctuating,0.839,0.821,23,20,16,27
859,859.1,low,4,5,4,5,fluctuating,0.867,0.855,34,17,16,17
861,861.1,low,4,5,4,5,fluctuating,0.85,0.839,20,60,16,21
861,861.2,low,4,5,4,5,fluctuating,0.85,0.839,20,60,16,26
861,861.3,low,4,5,4,5,fluctuating,0.85,0.839,20,60,16,24
862,862.1,low,4,5,4,5,fluctuating,0.907,0.891,27,28,16,24
864,864.1,high,4,5,4,5,fluctuating,0.754,0.736,20,20,16,13
866,866.1,low,4,5,4,5,fluctuating,0.864,0.848,27,17,16,43
867,867.1,low,4,5,4,5,fluctuating,0.871,0.859,37,27,16,18
868,868.1,low,4,5,4,5,fluctuating,0.857,0.846,38,16,16,4
869,869.1,high,4,5,4,5,fluctuating,0.793,0.782,37,22,16,40
870,870.1,low,4,5,4,5,fluctuating,0.881,0.868,35,21,16,26
4501,4501.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,32
4502,4502.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,26
4503,4503.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,38
4504,4504.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,37
4505,4505.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,26
4506,4506.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,41
4507,4507.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,36
4508,4508.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,33
4509,4509.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,29
4510,4510.1,mixed,4,5,4,5,fluctuating,NA,NA,20,21.67,16,11
872,872.1,low,4,6,4,5,stable,0.877,0.862,29,27,16,18
874,874.1,low,4,6,4,5,stable,0.868,0.848,21,19,16,33
877,877.1,high,4,6,4,5,stable,0.832,0.819,31,24,16,12
883,883.1,high,4,6,4,5,stable,0.791,0.775,24,19,16,20
4601,4601.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,31
4602,4602.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,11
4603,4603.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,38
4604,4604.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,49
4605,4605.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,39
4606,4606.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,31
4607,4607.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,41
4608,4608.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,13
4609,4609.1,mixed,4,6,4,5,stable,NA,NA,20,15.1,16,33
901,901.1,high,4,7,5,4,fluctuating,0.882,0.865,26,25,16,23
903,903.1,low,4,7,5,4,fluctuating,0.894,0.884,22,46,16,42
903,903.2,low,4,7,5,4,fluctuating,0.894,0.884,22,46,16,33
904,904.1,high,4,7,5,4,fluctuating,0.867,0.857,21.5,45,16,20
904,904.2,high,4,7,5,4,fluctuating,0.867,0.857,21.5,45,16,29
909,909.1,low,4,7,5,4,fluctuating,0.908,0.897,21.5,20,16,20
916,916.1,low,4,7,5,4,fluctuating,0.889,0.882,33,48,16,27
916,916.2,low,4,7,5,4,fluctuating,0.889,0.882,33,48,16,34
916,916.3,low,4,7,5,4,fluctuating,0.889,0.882,33,48,16,34
917,917.1,high,4,7,5,4,fluctuating,0.888,0.872,28,21,16,34
4701,4701.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,49
4702,4702.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,26
4703,4703.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,51
4704,4704.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,34
4705,4705.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,19
4706,4706.1,mixed,4,7,5,4,fluctuating,NA,NA,20,18.17,16,36
934,934.1,low,4,8,5,4,stable,0.896,0.887,23.5,22,16,17
935,935.1,high,4,8,5,4,stable,0.871,0.857,31,19,16,25
940,940.1,high,4,8,5,4,stable,0.87,0.854,28,19,16,41
942,942.1,low,4,8,5,4,stable,0.899,0.883,28,22,16,25
945,945.1,low,4,8,5,4,stable,0.883,0.872,20.5,45,16,0
945,945.2,low,4,8,5,4,stable,0.883,0.872,20.5,45,16,15
4801,4801.1,mixed,4,8,5,4,stable,NA,NA,20,13.33,16,23
4802,4802.1,mixed,4,8,5,4,stable,NA,NA,20,13.33,16,37
4803,4803.1,mixed,4,8,5,4,stable,NA,NA,20,13.33,16,22
4804,4804.1,mixed,4,8,5,4,stable,NA,NA,20,13.33,16,7
